area_level,area_level_label,area_id,area_name,sex,indicator,indicator_label,mean,se,median,mode,lower,upper
3,District,MWI_3_15,Ntcheu,both,aware_plhiv_num,Number PLHIV aware,27689.0437398786,2029.08310411537,27599.8542933143,27616.5646804595,24011.6525561703,31687.8117629674
3,District,MWI_3_15,Ntcheu,female,aware_plhiv_num,Number PLHIV aware,18034.1205792471,1355.03690360179,17979.9663816217,17994.5936503079,15623.5736167667,20744.6506955243
3,District,MWI_3_15,Ntcheu,male,aware_plhiv_num,Number PLHIV aware,9654.92316063148,682.019278027012,9632.06472874834,9621.97685043959,8436.44845806213,11021.5171525008
3,District,MWI_3_16,Mangochi,both,plhiv,PLHIV,67981.2667077144,2924.03359238885,67877.5123168247,67776.9045996189,62213.8375557208,73627.3862534741
3,District,MWI_3_16,Mangochi,female,plhiv,PLHIV,44747.3989547985,1903.24789933955,44700.6620512343,44640.855604767,41025.7768454356,48445.096709671
3,District,MWI_3_16,Mangochi,male,plhiv,PLHIV,23233.8677529159,1041.83727892349,23208.9617932473,23133.4906383285,21107.2433689069,25243.9739754001
3,District,MWI_3_16,Mangochi,both,unaware_plhiv_num,Number PLHIV unaware,3134.13443760994,582.421744011327,3091.30099992484,3034.1743009035,2142.62402630607,4401.61731718685
3,District,MWI_3_16,Mangochi,female,unaware_plhiv_num,Number PLHIV unaware,957.212948373954,178.65483075828,943.225473012344,927.389354022738,654.61435153803,1347.53222686698
3,District,MWI_3_16,Mangochi,male,unaware_plhiv_num,Number PLHIV unaware,2176.92148923598,414.67525238626,2126.89404679446,2104.32033853156,1449.55422225082,3122.26701253843
3,District,MWI_3_16,Mangochi,both,aware_plhiv_num,Number PLHIV aware,64847.1322701044,2669.80614282782,64853.3617033296,64790.8957551274,59442.8839960016,69811.5843760695
3,District,MWI_3_16,Mangochi,female,aware_plhiv_num,Number PLHIV aware,43790.1860064245,1802.69971775183,43841.6670463794,43777.1925594931,40207.2956188679,47130.1269607357
3,District,MWI_3_16,Mangochi,male,aware_plhiv_num,Number PLHIV aware,21056.9462636799,879.698106055572,21052.0784968439,21013.3150437246,19259.1369697022,22724.631635542
3,District,MWI_3_17,Machinga,both,plhiv,PLHIV,31398.5890296878,1942.5738453156,31405.9804107519,31170.8899993019,27781.7928758837,35149.4152005168
3,District,MWI_3_17,Machinga,female,plhiv,PLHIV,20761.5871796224,1266.08080061779,20774.9130008821,20624.9503856083,18419.7011751631,23258.1261876859
3,District,MWI_3_17,Machinga,male,plhiv,PLHIV,10637.0018500654,687.614859386557,10636.8434288267,10544.6038083479,9262.96250902454,11969.9363922655
3,District,MWI_3_17,Machinga,both,unaware_plhiv_num,Number PLHIV unaware,1827.06277519131,319.146397616615,1799.79500642279,1762.95336096661,1280.47469765996,2576.57678243583
3,District,MWI_3_17,Machinga,female,unaware_plhiv_num,Number PLHIV unaware,600.388577751569,106.298011811928,591.139908389395,579.265712286362,417.127942115374,839.727494646437
3,District,MWI_3_17,Machinga,male,unaware_plhiv_num,Number PLHIV unaware,1226.67419743974,216.186616457656,1213.73103361625,1183.84954200424,852.534624753164,1709.32534613826
3,District,MWI_3_17,Machinga,both,aware_plhiv_num,Number PLHIV aware,29571.5262544965,1818.83410074793,29573.3119289753,29432.6694907875,26149.9470934663,33402.1222091067
